plan_id,bundle_id,Daily Distance,Number of Transitions,Average Path Length,Friction Score,hd,ht,ha,overlap,w_hd,w_ht,w_ha,n_rooms
1042,bachelor,10585.17,26.0,407.12192307692305,0.2123109427528191,0.46050539056733925,0.3466666666666667,0.04207171377727033,0.0,0.46050539056733925,0.3466666666666667,0.04207171377727033,9
1042,elderly_only,7864.231,19.0,413.9068947368421,0.3755947656558851,0.5131973461219956,0.38,0.14780276676413356,0.0,0.7697960191829935,0.5700000000000001,0.16258304344054694,9
1042,young_couple,3362.7219999999998,9.0,373.6357777777778,0.18501218464297556,0.36573612138004963,0.3,0.07431261719185259,0.0,0.36573612138004963,0.3,0.07431261719185259,9
1732,bachelor,12632.698,32.0,394.7718125,0.29138718921507695,0.5495826261089095,0.4266666666666667,0.1892994640847317,0.0,0.5495826261089095,0.4266666666666667,0.1892994640847317,5
1732,elderly_only,6794.367000000001,17.0,399.6686470588236,0.3138275177900843,0.4433810645921853,0.34,0.0729440675200539,0.0,0.6650715968882779,0.51,0.0802384742720593,5
1732,young_couple,3788.696,10.0,378.8696,0.3476696415225523,0.4120658740532546,0.3333333333333333,0.14527935870362135,0.5,0.4120658740532546,0.3333333333333333,0.14527935870362135,5
30,bachelor,19125.952,40.0,478.14880000000005,0.405423756520219,0.8320701505721858,0.5333333333333333,0.25629154217535693,0.0,0.8320701505721858,0.5333333333333333,0.25629154217535693,6
30,elderly_only,9666.386,20.0,483.3193,0.43771626023610943,0.6308008553907958,0.4,0.1860579616893126,0.0,0.9462012830861937,0.6000000000000001,0.20466375785824387,6
30,young_couple,6077.693,13.0,467.5148461538462,0.4403570283221492,0.6610215964206015,0.43333333333333335,0.16707318353466186,0.5,0.6610215964206015,0.43333333333333335,0.16707318353466186,6
413,bachelor,14428.51,32.0,450.8909375,0.3295153626636543,0.6277090148627523,0.4266666666666667,0.26368576912519814,0.0,0.6277090148627523,0.4266666666666667,0.26368576912519814,9
413,elderly_only,8191.286,17.0,481.8403529411765,0.3603341671730137,0.5345400251501078,0.34,0.11775148269717572,0.0,0.8018100377251617,0.51,0.12952663096689332,9
413,young_couple,4270.164999999999,10.0,427.01649999999995,0.24000215973614247,0.4644313698107781,0.3333333333333333,0.16224393580045857,0.0,0.4644313698107781,0.3333333333333333,0.16224393580045857,9
476,bachelor,5406.682000000001,20.0,270.33410000000003,0.1254707814348613,0.23521645907277855,0.26666666666666666,0.0,0.0,0.23521645907277855,0.26666666666666666,0.0,4
476,elderly_only,2198.42,10.0,219.842,0.12879848851376177,0.143462636036698,0.2,0.0,0.0,0.21519395405504702,0.30000000000000004,0.0,4
476,young_couple,1890.107,7.0,270.0152857142857,0.23472625275793058,0.20557167769838883,0.23333333333333334,0.0,0.5,0.20557167769838883,0.23333333333333334,0.0,4
